date,is_festive_season,festival_name,harvest_season_type
2020_02_10,0,None,Zaid Lean Season
2020_02_11,0,None,Zaid Lean Season
2020_02_12,0,None,Zaid Lean Season
2020_02_13,0,None,Zaid Lean Season
2020_02_14,0,None,Zaid Lean Season
2020_02_15,0,None,Zaid Lean Season
2020_02_16,0,None,Zaid Lean Season
2020_02_17,0,None,Zaid Lean Season
2020_02_18,0,None,Zaid Lean Season
2020_02_19,0,None,Zaid Lean Season
2020_02_20,0,None,Zaid Lean Season
2020_02_21,0,None,Zaid Lean Season
2020_02_22,0,None,Zaid Lean Season
2020_02_23,0,None,Zaid Lean Season
2020_02_24,0,None,Zaid Lean Season
2020_02_25,0,None,Zaid Lean Season
2020_02_26,0,None,Zaid Lean Season
2020_02_27,0,None,Zaid Lean Season
2020_02_28,0,None,Zaid Lean Season
2020_02_29,0,None,Zaid Lean Season
2020_03_01,0,None,Rabi Harvest
2020_03_02,0,None,Rabi Harvest
2020_03_03,0,None,Rabi Harvest
2020_03_04,0,None,Rabi Harvest
2020_03_05,0,None,Rabi Harvest
2020_03_06,0,None,Rabi Harvest
2020_03_07,0,None,Rabi Harvest
2020_03_08,0,None,Rabi Harvest
2020_03_09,0,None,Rabi Harvest
2020_03_10,1,Holi,Rabi Harvest
2020_03_11,0,None,Rabi Harvest
2020_03_12,0,None,Rabi Harvest
2020_03_13,0,None,Rabi Harvest
2020_03_14,0,None,Rabi Harvest
2020_03_15,0,None,Rabi Harvest
2020_03_16,0,None,Rabi Harvest
2020_03_17,0,None,Rabi Harvest
2020_03_18,0,None,Rabi Harvest
2020_03_19,0,None,Rabi Harvest
2020_03_20,0,None,Rabi Harvest
2020_03_21,0,None,Rabi Harvest
2020_03_22,0,None,Rabi Harvest
2020_03_23,0,None,Rabi Harvest
2020_03_24,0,None,Rabi Harvest
2020_03_25,0,None,Rabi Harvest
2020_03_26,0,None,Rabi Harvest
2020_03_27,0,None,Rabi Harvest
2020_03_28,0,None,Rabi Harvest
2020_03_29,0,None,Rabi Harvest
2020_03_30,0,None,Rabi Harvest
2020_03_31,0,None,Rabi Harvest
2020_04_01,0,None,Rabi Harvest
2020_04_02,1,Ram Navami,Rabi Harvest
2020_04_03,0,None,Rabi Harvest
2020_04_04,0,None,Rabi Harvest
2020_04_05,0,None,Rabi Harvest
2020_04_06,1,Mahavir Jayanti,Rabi Harvest
2020_04_07,0,None,Rabi Harvest
2020_04_08,0,None,Rabi Harvest
2020_04_09,0,None,Rabi Harvest
2020_04_10,1,Good Friday,Rabi Harvest
2020_04_11,0,None,Rabi Harvest
2020_04_12,0,None,Rabi Harvest
2020_04_13,0,None,Rabi Harvest
2020_04_14,1,Dr. B. R. Ambedkar's Jayanti,Rabi Harvest
2020_04_15,0,None,Rabi Harvest
2020_04_16,0,None,Rabi Harvest
2020_04_17,0,None,Rabi Harvest
2020_04_18,0,None,Rabi Harvest
2020_04_19,0,None,Rabi Harvest
2020_04_20,0,None,Rabi Harvest
2020_04_21,0,None,Rabi Harvest
2020_04_22,0,None,Rabi Harvest
2020_04_23,0,None,Rabi Harvest
2020_04_24,0,None,Rabi Harvest
2020_04_25,0,None,Rabi Harvest
2020_04_26,0,None,Rabi Harvest
2020_04_27,0,None,Rabi Harvest
2020_04_28,0,None,Rabi Harvest
2020_04_29,0,None,Rabi Harvest
2020_04_30,0,None,Rabi Harvest
2020_05_01,0,None,Rabi Harvest
2020_05_02,0,None,Rabi Harvest
2020_05_03,0,None,Rabi Harvest
2020_05_04,0,None,Rabi Harvest
2020_05_05,0,None,Rabi Harvest
2020_05_06,0,None,Rabi Harvest
2020_05_07,1,Buddha Purnima,Rabi Harvest
2020_05_08,0,None,Rabi Harvest
2020_05_09,0,None,Rabi Harvest
2020_05_10,0,None,Rabi Harvest
2020_05_11,0,None,Rabi Harvest
2020_05_12,0,None,Rabi Harvest
2020_05_13,0,None,Rabi Harvest
2020_05_14,0,None,Rabi Harvest
2020_05_15,0,None,Rabi Harvest
2020_05_16,0,None,Rabi Harvest
2020_05_17,0,None,Rabi Harvest
2020_05_18,0,None,Rabi Harvest
2020_05_19,0,None,Rabi Harvest
2020_05_20,0,None,Rabi Harvest
2020_05_21,0,None,Rabi Harvest
2020_05_22,0,None,Rabi Harvest
2020_05_23,0,None,Rabi Harvest
2020_05_24,0,None,Rabi Harvest
2020_05_25,1,Id-ul-Fitr,Rabi Harvest
2020_05_26,0,None,Rabi Harvest
2020_05_27,0,None,Rabi Harvest
2020_05_28,0,None,Rabi Harvest
2020_05_29,0,None,Rabi Harvest
2020_05_30,0,None,Rabi Harvest
2020_05_31,0,None,Rabi Harvest
2020_06_01,0,None,Zaid Lean Season
2020_06_02,0,None,Zaid Lean Season
2020_06_03,0,None,Zaid Lean Season
2020_06_04,0,None,Zaid Lean Season
2020_06_05,0,None,Zaid Lean Season
2020_06_06,0,None,Zaid Lean Season
2020_06_07,0,None,Zaid Lean Season
2020_06_08,0,None,Zaid Lean Season
2020_06_09,0,None,Zaid Lean Season
2020_06_10,0,None,Zaid Lean Season
2020_06_11,0,None,Zaid Lean Season
2020_06_12,0,None,Zaid Lean Season
2020_06_13,0,None,Zaid Lean Season
2020_06_14,0,None,Zaid Lean Season
2020_06_15,0,None,Zaid Lean Season
2020_06_16,0,None,Zaid Lean Season
2020_06_17,0,None,Zaid Lean Season
2020_06_18,0,None,Zaid Lean Season
2020_06_19,0,None,Zaid Lean Season
2020_06_20,0,None,Zaid Lean Season
2020_06_21,0,None,Zaid Lean Season
2020_06_22,0,None,Zaid Lean Season
2020_06_23,0,None,Zaid Lean Season
2020_06_24,0,None,Zaid Lean Season
2020_06_25,0,None,Zaid Lean Season
2020_06_26,0,None,Zaid Lean Season
